"Disease1","Disease1_key","Disease1_name","Disease2","Disease2_key","Disease2_name","TestValue","ExpectedValue","Variance","PValue","AdjustedPValue"
"condition_101","101","Blindness","condition_102","102","Cataracts",35,5.31547529345792,5.30631763145938,0,0
"condition_101","101","Blindness","condition_198","198","Other eye condition",22,3.47106312193559,3.46926250859504,0,0
"condition_104","104","Keratoconjunctivitis sicca (KCS)","condition_109","109","Corneal ulcer",28,3.61437613239163,3.61041113101,0,0
"condition_104","104","Keratoconjunctivitis sicca (KCS)","condition_112","112","Entropion (eyelid rolled in)",12,1.07624989577674,1.07611834897731,0,0
"condition_201","201","Deafness","condition_205","205","Hearing loss (incompletely deaf)",13,1.47461332203715,1.47335114071632,0,0
"condition_202","202","Ear Infection","condition_405","405","Atopic dermatitis (atopy)",123,53.795546631129,53.5628403300337,0,0
"condition_202","202","Ear Infection","condition_406","406","Chronic or recurrent hot spots",147,64.2028258126329,63.597792707671,0,0
"condition_202","202","Ear Infection","condition_407","407","Chronic or recurrent skin infections",88,31.4376214239277,31.3346096376509,0,0
"condition_202","202","Ear Infection","condition_412","412","Food or medicine allergies that affect the skin",156,63.5348363675784,63.1441031667848,0,0
"condition_208","208","Rhinitis","condition_605","605","Chronic or recurrent cough",9,0.624574969191099,0.624508345056697,0,0
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_305","305","Extracted teeth",1136,707.58150281986,620.392245913557,0,0
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_307","307","Gingivitis (red, puffy gums)",356,146.799878245669,143.597669953249,0,0
"condition_305","305","Extracted teeth","condition_306","306","Fractured teeth",594,268.039018298226,257.547560466494,0,0
"condition_305","305","Extracted teeth","condition_307","307","Gingivitis (red, puffy gums)",275,147.905551491737,143.650710616034,0,0
"condition_310","310","Overbite","condition_398","398","Other oral condition",13,1.5700128489114,1.56977165718152,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_407","407","Chronic or recurrent skin infections",53,11.944447970681,11.9339819862489,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_412","412","Food or medicine allergies that affect the skin",78,24.5819930616486,24.5392826811126,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_423","423","Pruritis (itchy skin)",117,33.3560693021262,33.2833721679016,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_424","424","Pyoderma or bacterial dermatitis",30,6.65094060981378,6.64742303154869,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_426","426","Seasonal allergies",139,54.8542461461736,54.6546548609289,0,0
"condition_406","406","Chronic or recurrent hot spots","condition_407","407","Chronic or recurrent skin infections",56,14.0806753895165,14.0569862786219,0,0
"condition_406","406","Chronic or recurrent hot spots","condition_412","412","Food or medicine allergies that affect the skin",72,27.3098789481629,27.2321302719265,0,0
"condition_406","406","Chronic or recurrent hot spots","condition_426","426","Seasonal allergies",142,58.6922070265936,58.3944023105452,0,0
"condition_407","407","Chronic or recurrent skin infections","condition_412","412","Food or medicine allergies that affect the skin",59,13.8131976354386,13.7973314065318,0,0
"condition_407","407","Chronic or recurrent skin infections","condition_423","423","Pruritis (itchy skin)",59,17.676232724316,17.6552815963335,0,0
"condition_407","407","Chronic or recurrent skin infections","condition_424","424","Pyoderma or bacterial dermatitis",24,3.74472408651875,3.74337913556974,0,0
"condition_407","407","Chronic or recurrent skin infections","condition_426","426","Seasonal allergies",80,30.0050365743452,29.9389279730521,0,0
"condition_410","410","Flea allergy dermatitis","condition_411","411","Fleas",68,11.8302693103223,11.8165791583637,0,0
"condition_411","411","Fleas","condition_432","432","Ticks",106,21.3654932689988,21.3265442413292,0,0
"condition_412","412","Food or medicine allergies that affect the skin","condition_423","423","Pruritis (itchy skin)",108,37.2038723404487,37.1105717143468,0,0
"condition_412","412","Food or medicine allergies that affect the skin","condition_426","426","Seasonal allergies",187,61.9729126828924,61.6995087109706,0,0
"condition_412","412","Food or medicine allergies that affect the skin","condition_712","712","Food or medicine allergies",167,20.218912464228,20.1875573441297,0,0
"condition_423","423","Pruritis (itchy skin)","condition_426","426","Seasonal allergies",224,84.2036076329646,83.7357187580638,0,0
"condition_426","426","Seasonal allergies","condition_712","712","Food or medicine allergies",113,43.928672254328,43.7960267688554,0,0
"condition_504","504","Murmur","condition_511","511","Cardiomyopathy",21,3.47095679335463,3.46882945052779,0,0
"condition_504","504","Murmur","condition_519","519","Valve disease",44,5.99927158893906,5.986966093172,0,0
"condition_504","504","Murmur","condition_598","598","Other Cardiac",23,4.36136837494532,4.35675645312024,0,0
"condition_510","510","Arrhythmia","condition_511","511","Cardiomyopathy",5,0.304839212242992,0.304827915022609,0,0
"condition_510","510","Arrhythmia","condition_598","598","Other Cardiac",7,0.330450248567848,0.330436244519337,0,0
"condition_610","610","Pneumonia","condition_1605","1605","Bordetella and/or parainfluenza (kennel cough)",30,7.2757196172942,7.27173742679711,0,0
"condition_708","708","Chronic or recurrent diarrhea","condition_709","709","Chronic or recurrent vomiting",78,7.43592892071429,7.43201103291997,0,0
"condition_708","708","Chronic or recurrent diarrhea","condition_712","712","Food or medicine allergies",63,14.8755179542895,14.8597162809418,0,0
"condition_709","709","Chronic or recurrent vomiting","condition_712","712","Food or medicine allergies",34,7.04924095640007,7.04570756193415,0,0
"condition_712","712","Food or medicine allergies","condition_719","719","Other allergies",25,2.79100083807872,2.79039283320508,0,0
"condition_914","914","Urinary crystals or stones in bladder or urethra","condition_916","916","Urinary tract infection (chronic or recurrent)",65,11.1727441341087,11.1548843801161,0,0
"condition_915","915","Urinary incontinence","condition_998","998","Other kidney condition",21,4.06463014007334,4.0622636102295,0,0
"condition_916","916","Urinary tract infection (chronic or recurrent)","condition_1015","1015","Recessed vulva",28,5.34586133700333,5.33910554676935,0,0
"condition_1105","1105","Cruciate ligament rupture","condition_1898","1898","Other trauma",113,47.5478154110678,47.3118612649097,0,0
"condition_1106","1106","Degenerative joint disease","condition_1108","1108","Elbow dysplasia",13,1.51553873378065,1.51502834003467,0,0
"condition_1106","1106","Degenerative joint disease","condition_1112","1112","Lameness (chronic or recurrent)",22,4.33495872609427,4.33185708121971,0,0
"condition_1106","1106","Degenerative joint disease","condition_1113","1113","Osteoarthritis",47,12.0143526193321,11.9770719565839,0,0
"condition_1110","1110","Hip dysplasia","condition_1598","1598","Other congenital disorder",24,3.39083022816061,3.38977335092346,0,0
"condition_1601","1601","Anaplasmosis","condition_1627","1627","Lyme disease",57,8.64239912971176,8.63421919464719,0,0
"condition_1609","1609","Coccidia","condition_1617","1617","Giardia",77,24.8344041965331,24.7783833406168,0,0
"condition_1616","1616","Gastrointestinal parasites","condition_1622","1622","Hookworms",44,12.8016860597234,12.7879981472147,0,0
"condition_1616","1616","Gastrointestinal parasites","condition_1634","1634","Roundworms",49,13.4261417367842,13.4107920286835,0,0
"condition_1616","1616","Gastrointestinal parasites","condition_1637","1637","Tapeworms",50,13.9661386235111,13.9503678086908,0,0
"condition_1616","1616","Gastrointestinal parasites","condition_1640","1640","Whipworms",25,5.138609300486,5.13624622972572,0,0
"condition_1622","1622","Hookworms","condition_1634","1634","Roundworms",106,17.9115014799735,17.8863693619159,0,0
"condition_1622","1622","Hookworms","condition_1637","1637","Tapeworms",70,18.3135018995612,18.2891713572763,0,0
"condition_1622","1622","Hookworms","condition_1640","1640","Whipworms",74,6.7311033185116,6.72742659840144,0,0
"condition_1634","1634","Roundworms","condition_1637","1637","Tapeworms",78,19.3466584973608,19.3183494745279,0,0
"condition_1634","1634","Roundworms","condition_1640","1640","Whipworms",56,7.11931682626127,7.11501051145602,0,0
"condition_1637","1637","Tapeworms","condition_1640","1640","Whipworms",38,7.30913786984985,7.30492320599908,0,0
"condition_1701","1701","Chocolate","condition_1703","1703","Grapes or raisins",98,21.5829747363084,21.5506315420808,0,0
"condition_1804","1804","Fractured bone (long bone in limb)","condition_1805","1805","Fractured bone (other bone in limb)",16,2.47990708537058,2.47950773419545,0,0
"condition_1804","1804","Fractured bone (long bone in limb)","condition_1810","1810","Hit by car or other vehicle",34,3.40098126346341,3.40015526148966,0,0
"condition_1215","1215","Seizures (including epilepsy)","condition_1298","1298","Other neurologic condition",22,4.52555024148312,4.52369983266216,1.11022302462516e-16,9.0238927441533e-13
"condition_202","202","Ear Infection","condition_426","426","Seasonal allergies",229,135.226786498965,133.754587983089,2.22044604925031e-16,1.80477854883065e-12
"condition_498","498","Other skin condition","condition_1998","1998","Other Immune",18,3.26662590706775,3.26577907125809,2.22044604925031e-16,1.80477854883065e-12
