"Disease1","Disease1_key","Disease1_name","Disease2","Disease2_key","Disease2_name","TestValue","ExpectedValue","Variance","PValue","AdjustedPValue"
"condition_101","101","Blindness","condition_103","103","Glaucoma",31,4.53593643817698,4.50253930054454,0,0
"condition_298","298","Other ear condition","condition_1211","1211","Laryngeal paralysis (Neurologic)",14,1.99542396969944,1.98917636854895,0,0
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_305","305","Extracted teeth",914,636.378799301832,533.006512666543,0,0
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_307","307","Gingivitis (red, puffy gums)",293,151.788327417178,146.131655409078,0,0
"condition_305","305","Extracted teeth","condition_306","306","Fractured teeth",362,200.169802691695,192.343910891206,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_407","407","Chronic or recurrent skin infections",39,7.83191547490267,7.81972831534198,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_423","423","Pruritis (itchy skin)",40,10.4634382774725,10.4444299864054,0,0
"condition_405","405","Atopic dermatitis (atopy)","condition_424","424","Pyoderma or bacterial dermatitis",17,2.86780361002276,2.86613569079044,0,0
"condition_406","406","Chronic or recurrent hot spots","condition_407","407","Chronic or recurrent skin infections",42,11.939905527977,11.899413934628,0,0
"condition_410","410","Flea allergy dermatitis","condition_411","411","Fleas",41,7.03314266001528,7.02353373795687,0,0
"condition_411","411","Fleas","condition_432","432","Ticks",56,8.67519089708775,8.66121004984234,0,0
"condition_411","411","Fleas","condition_1637","1637","Tapeworms",38,10.0137415704576,9.99604789438914,0,0
"condition_412","412","Food or medicine allergies that affect the skin","condition_712","712","Food or medicine allergies",61,6.32274206086884,6.31483582159424,0,0
"condition_423","423","Pruritis (itchy skin)","condition_426","426","Seasonal allergies",75,24.5148908073731,24.4086442025319,0,0
"condition_432","432","Ticks","condition_1627","1627","Lyme disease",44,9.25395392131741,9.23807914846259,0,0
"condition_504","504","Murmur","condition_519","519","Valve disease",59,13.3338353087466,13.271193956343,0,0
"condition_608","608","Laryngeal paralysis (Respiratory)","condition_1211","1211","Laryngeal paralysis (Neurologic)",71,4.25061983573805,4.06375871113265,0,0
"condition_708","708","Chronic or recurrent diarrhea","condition_709","709","Chronic or recurrent vomiting",24,3.6169012978089,3.61407592817572,0,0
"condition_914","914","Urinary crystals or stones in bladder or urethra","condition_916","916","Urinary tract infection (chronic or recurrent)",45,9.70407616755359,9.67684047244219,0,0
"condition_1106","1106","Degenerative joint disease","condition_1112","1112","Lameness (chronic or recurrent)",41,11.3108253442177,11.2772810715447,0,0
"condition_1111","1111","Intervertebral disc disease (IVDD) (Orthopedic)","condition_1210","1210","Intervertebral disc disease (IVDD) (Neurologic)",54,3.14231827338444,3.13803653874968,0,0
"condition_1601","1601","Anaplasmosis","condition_1627","1627","Lyme disease",25,4.52293790920804,4.51866497746036,0,0
"condition_1622","1622","Hookworms","condition_1634","1634","Roundworms",21,2.5556944804337,2.55446446793791,0,0
"condition_1622","1622","Hookworms","condition_1640","1640","Whipworms",14,1.155141962549,1.15483119790526,0,0
"condition_1634","1634","Roundworms","condition_1637","1637","Tapeworms",31,5.77687049730279,5.77052370697751,0,0
