"Disease1","Disease1_key","Disease1_name","Disease2","Disease2_key","Disease2_name","TestValue","ExpectedValue","Variance","PValue","AdjustedPValue"
"condition_305","305","Extracted teeth","condition_306","306","Fractured teeth",19,2.0349482329144,2.03198506051607,0,0
"condition_412","412","Food or medicine allergies that affect the skin","condition_712","712","Food or medicine allergies",30,6.63248900874475,6.59211019336537,0,0
"condition_708","708","Chronic or recurrent diarrhea","condition_709","709","Chronic or recurrent vomiting",20,3.25500098095636,3.2516014300407,0,0
"condition_1110","1110","Hip dysplasia","condition_1198","1198","Other orthopedic condition",11,1.47848682420875,1.47710612558286,2.33146835171283e-15,2.41306974402278e-12
"condition_708","708","Chronic or recurrent diarrhea","condition_712","712","Food or medicine allergies",27,8.41466211347417,8.36877596352886,6.61508625654506e-11,6.84661427552414e-08
"condition_1622","1622","Hookworms","condition_1634","1634","Roundworms",37,13.6924351526964,13.627751134261,1.36209932222187e-10,1.40977279849964e-07
"condition_405","405","Atopic dermatitis (atopy)","condition_423","423","Pruritis (itchy skin)",21,6.10263091978149,6.0902646379545,7.87037435223681e-10,8.1458374545651e-07
"condition_1117","1117","Patellar luxation","condition_1198","1198","Other orthopedic condition",10,1.94443274369395,1.94105593239066,3.69117303389288e-09,3.82036409007913e-06
"condition_411","411","Fleas","condition_432","432","Ticks",13,3.06857157201982,3.06500641551198,7.02488678339108e-09,7.27075782080977e-06
"condition_423","423","Pruritis (itchy skin)","condition_426","426","Seasonal allergies",34,13.6462526890919,13.5817945017097,1.66741415119631e-08,1.72577364648818e-05
"condition_1634","1634","Roundworms","condition_1637","1637","Tapeworms",28,10.6612249739029,10.6204125544038,5.17577072312037e-08,5.35692269842958e-05
"condition_412","412","Food or medicine allergies that affect the skin","condition_426","426","Seasonal allergies",30,11.8953176809698,11.8241380993949,7.00586714197371e-08,7.25107249194279e-05
"condition_1701","1701","Chocolate","condition_1703","1703","Grapes or raisins",13,3.77576449363891,3.77103302148264,1.01671995567099e-06,0.00105230515411947
"condition_426","426","Seasonal allergies","condition_712","712","Food or medicine allergies",23,9.71175969241613,9.66546320328796,9.5906900012821e-06,0.00992636415132697
"condition_405","405","Atopic dermatitis (atopy)","condition_412","412","Food or medicine allergies that affect the skin",15,5.26627651927808,5.25310158564128,1.08378718828295e-05,0.0112171973987285
"condition_406","406","Chronic or recurrent hot spots","condition_412","412","Food or medicine allergies that affect the skin",12,3.8208792304571,3.7797546175433,1.29378787937506e-05,0.0133907045515319
"condition_406","406","Chronic or recurrent hot spots","condition_426","426","Seasonal allergies",14,5.08235304035326,5.05878417397661,3.67204420279599e-05,0.0380056574989385
"condition_411","411","Fleas","condition_1637","1637","Tapeworms",13,4.67737163431259,4.66967460632511,5.8725291845807e-05,0.0607806770604102
"condition_405","405","Atopic dermatitis (atopy)","condition_426","426","Seasonal allergies",20,8.6852982902616,8.65890199500257,6.02428154262702e-05,0.0623513139661897
"condition_305","305","Extracted teeth","condition_311","311","Retained deciduous (baby) teeth",10,3.20805629271109,3.1926600620686,7.20060924063182e-05,0.0745263056405393
"condition_709","709","Chronic or recurrent vomiting","condition_798","798","Other gastrointestinal condition",5,1.11906135370118,1.11862295560044,0.000121560783747476,0.125815411178638
"condition_108","108","Conjunctivitis","condition_709","709","Chronic or recurrent vomiting",10,3.40402901444694,3.40042699190835,0.000173818026828587,0.179901657767588
"condition_709","709","Chronic or recurrent vomiting","condition_712","712","Food or medicine allergies",7,2.04713922415632,2.04566981594141,0.000267206139718312,0.276558354608453
"condition_202","202","Ear Infection","condition_412","412","Food or medicine allergies that affect the skin",27,14.239637400385,14.0952239897639,0.000338397247270139,0.350241150924594
"condition_1616","1616","Gastrointestinal parasites","condition_1634","1634","Roundworms",19,9.24371571292004,9.21454560858355,0.000654471170026261,0.67737766097718
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_305","305","Extracted teeth",11,4.35702020703961,4.33633163363712,0.000711165037593053,0.73605581390881
"condition_108","108","Conjunctivitis","condition_198","198","Other eye condition",6,3.9030888739648,3.89836526115961,0.14410993678917,1
"condition_108","108","Conjunctivitis","condition_202","202","Ear Infection",19,16.2061490609324,16.1167481933391,0.243236854790624,1
"condition_108","108","Conjunctivitis","condition_304","304","Dental calculus (yellow build-up on teeth)",2,7.21493593670315,7.19135764104232,0.974092003872625,1
"condition_108","108","Conjunctivitis","condition_305","305","Extracted teeth",0,4.10706369440449,4.09931643854054,0.978745545993527,1
"condition_108","108","Conjunctivitis","condition_306","306","Fractured teeth",2,4.57304757169567,4.56565309430239,0.885742645115758,1
"condition_108","108","Conjunctivitis","condition_311","311","Retained deciduous (baby) teeth",2,4.31517444032059,4.29523798799026,0.868023143303333,1
"condition_108","108","Conjunctivitis","condition_313","313","Underbite",3,3.42189709415504,3.4152335820133,0.590291529637994,1
"condition_108","108","Conjunctivitis","condition_405","405","Atopic dermatitis (atopy)",7,6.72467176624495,6.70998606049836,0.457676372286469,1
"condition_108","108","Conjunctivitis","condition_406","406","Chronic or recurrent hot spots",3,3.44869917862692,3.44251052441865,0.595545663487115,1
"condition_108","108","Conjunctivitis","condition_411","411","Fleas",3,5.76640742395511,5.75537811225878,0.87557199730054,1
"condition_108","108","Conjunctivitis","condition_412","412","Food or medicine allergies that affect the skin",6,8.34135163116671,8.316467744391,0.79157262148772,1
"condition_108","108","Conjunctivitis","condition_423","423","Pruritis (itchy skin)",9,10.2650964476299,10.232402781454,0.65375912005064,1
"condition_108","108","Conjunctivitis","condition_426","426","Seasonal allergies",10,14.326873417953,14.2629061973445,0.874039946280251,1
"condition_108","108","Conjunctivitis","condition_432","432","Ticks",7,5.9551535213183,5.94335955951461,0.334112806380229,1
"condition_108","108","Conjunctivitis","condition_498","498","Other skin condition",4,7.96885439192881,7.94898079375815,0.920389718136583,1
"condition_108","108","Conjunctivitis","condition_705","705","Anal sac impaction",7,4.60489884192486,4.59842097405502,0.132015679648952,1
"condition_108","108","Conjunctivitis","condition_708","708","Chronic or recurrent diarrhea",10,11.4104835502233,11.3631699133973,0.662182023395855,1
"condition_108","108","Conjunctivitis","condition_712","712","Food or medicine allergies",5,6.82713420736468,6.80986040267509,0.758088343119388,1
"condition_108","108","Conjunctivitis","condition_713","713","Foreign body ingestion or blockage",10,7.3976862789761,7.37790771174229,0.16901606626501,1
"condition_108","108","Conjunctivitis","condition_798","798","Other gastrointestinal condition",6,3.57343237688891,3.56930067446381,0.0995007399535519,1
"condition_108","108","Conjunctivitis","condition_916","916","Urinary tract infection (chronic or recurrent)",5,7.54115981273697,7.51571798923119,0.823018450573701,1
"condition_108","108","Conjunctivitis","condition_1110","1110","Hip dysplasia",2,3.74126473939036,3.73286773925975,0.816271315999891,1
"condition_108","108","Conjunctivitis","condition_1117","1117","Patellar luxation",0,4.07317781728018,4.06060329403677,0.978377400889412,1
"condition_108","108","Conjunctivitis","condition_1198","1198","Other orthopedic condition",4,4.58376855306724,4.5771902639555,0.607519905564968,1
"condition_108","108","Conjunctivitis","condition_1605","1605","Bordetella and/or parainfluenza (kennel cough)",24,16.4732960879078,16.3916321018055,0.0315092181145208,1
"condition_108","108","Conjunctivitis","condition_1609","1609","Coccidia",10,9.02383425642128,8.99553584355763,0.372412953025307,1
"condition_108","108","Conjunctivitis","condition_1616","1616","Gastrointestinal parasites",9,8.2862756383623,8.26310601082504,0.401955099636548,1
"condition_108","108","Conjunctivitis","condition_1617","1617","Giardia",27,34.0566970737295,33.6901667179611,0.887962910043761,1
"condition_108","108","Conjunctivitis","condition_1619","1619","Heartworm infection",4,4.64610573533421,4.63230298269045,0.617986229046264,1
"condition_108","108","Conjunctivitis","condition_1622","1622","Hookworms",7,12.4267111092697,12.3733347885932,0.938553314058034,1
"condition_108","108","Conjunctivitis","condition_1630","1630","Parvovirus",2,4.02178931915768,4.01432334221637,0.843534163107923,1
"condition_108","108","Conjunctivitis","condition_1634","1634","Roundworms",9,13.3338292673187,13.2726558141028,0.882893828967422,1
"condition_108","108","Conjunctivitis","condition_1637","1637","Tapeworms",9,10.0274345168255,9.9896132432945,0.627436781253395,1
"condition_108","108","Conjunctivitis","condition_1698","1698","Other infectious disease",8,3.61673895306019,3.61265498156439,0.0105516392137966,1
"condition_108","108","Conjunctivitis","condition_1701","1701","Chocolate",12,9.06701481954406,9.03967750571652,0.164652739573973,1
"condition_108","108","Conjunctivitis","condition_1703","1703","Grapes or raisins",4,4.63715340025587,4.6304078450176,0.616422095208538,1
"condition_108","108","Conjunctivitis","condition_1704","1704","Ingestion of human medications",1,6.03031691534858,6.0183048559517,0.979841818710103,1
"condition_108","108","Conjunctivitis","condition_1798","1798","Other ToxinConsumption",3,7.03455407420517,7.013977942117,0.936170402122892,1
"condition_108","108","Conjunctivitis","condition_1801","1801","Dog bite",19,20.1608384078765,20.0306426821972,0.602326169056268,1
"condition_108","108","Conjunctivitis","condition_1805","1805","Fractured bone (other bone in limb)",2,4.45062717594688,4.44471397365407,0.87746334421959,1
"condition_108","108","Conjunctivitis","condition_1812","1812","Laceration",8,9.53788676429817,9.50343016023139,0.691063211157194,1
"condition_108","108","Conjunctivitis","condition_1813","1813","Penetrating wound (such as a stick)",3,4.09386040651708,4.08761909620366,0.705758842620102,1
"condition_108","108","Conjunctivitis","condition_1817","1817","Torn or broken toenail",12,9.22014837653088,9.19115251507704,0.179589413730483,1
"condition_108","108","Conjunctivitis","condition_1898","1898","Other trauma",6,12.313149313727,12.2619133950803,0.964296507118268,1
"condition_198","198","Other eye condition","condition_202","202","Ear Infection",7,5.84725952884309,5.8351505506832,0.316607871049095,1
"condition_198","198","Other eye condition","condition_304","304","Dental calculus (yellow build-up on teeth)",4,3.30184445735738,3.29433242981411,0.350247472157196,1
"condition_198","198","Other eye condition","condition_305","305","Extracted teeth",1,1.75931656147365,1.75736443478462,0.716605004456399,1
"condition_198","198","Other eye condition","condition_306","306","Fractured teeth",2,1.72042992224263,1.71921489213718,0.415578131463278,1
"condition_198","198","Other eye condition","condition_311","311","Retained deciduous (baby) teeth",3,2.18037767810511,2.17356609378225,0.289126185825405,1
