"source","source_name","target","target_name","p_value"
"116","Nuclear sclerosis","304","Dental calculus (yellow build-up on teeth)",8.29642048340577e-218
"304","Dental calculus (yellow build-up on teeth)","305","Extracted teeth",3.67873364693672e-132
"311","Retained deciduous (baby) teeth","304","Dental calculus (yellow build-up on teeth)",1.71519608369712e-107
"1609","Coccidia","1617","Giardia",3.44571395248098e-107
"313","Underbite","304","Dental calculus (yellow build-up on teeth)",1.84462401067468e-101
"1106","Degenerative joint disease","1113","Osteoarthritis",1.08558208131225e-99
"423","Pruritis (itchy skin)","426","Seasonal allergies",1.24100546849785e-75
"412","Food or medicine allergies that affect the skin","426","Seasonal allergies",5.35213422117695e-67
"408","Contact dermatitis","426","Seasonal allergies",1.88966860882453e-65
"305","Extracted teeth","306","Fractured teeth",3.4488458272097e-62
"405","Atopic dermatitis (atopy)","426","Seasonal allergies",1.45091158614518e-59
"104","Keratoconjunctivitis sicca (KCS)","202","Ear Infection",8.28923280226936e-50
"313","Underbite","305","Extracted teeth",1.30229630757897e-48
"407","Chronic or recurrent skin infections","426","Seasonal allergies",2.55156197667568e-48
"101","Blindness","198","Other eye condition",1.43460365406252e-39
"421","Pododermatitis","423","Pruritis (itchy skin)",2.67490886606861e-39
"406","Chronic or recurrent hot spots","426","Seasonal allergies",3.98049709083129e-37
"1105","Cruciate ligament rupture","1898","Other trauma",5.55691934379169e-36
"1210","Intervertebral disc disease (IVDD) (Neurologic)","1898","Other trauma",7.20891741158526e-35
"410","Flea allergy dermatitis","426","Seasonal allergies",1.27677607493552e-33
"610","Pneumonia","1605","Bordetella and/or parainfluenza (kennel cough)",1.13398167578259e-32
"410","Flea allergy dermatitis","411","Fleas",3.90332296694051e-32
"114","Iris cyst","306","Fractured teeth",5.8181031180012e-32
"208","Rhinitis","426","Seasonal allergies",1.85919300087822e-30
"1110","Hip dysplasia","1113","Osteoarthritis",5.64595222047547e-30
"405","Atopic dermatitis (atopy)","423","Pruritis (itchy skin)",6.54503184419778e-30
"407","Chronic or recurrent skin infections","423","Pruritis (itchy skin)",6.89410976602304e-30
"1622","Hookworms","1634","Roundworms",3.20273102702663e-28
"408","Contact dermatitis","423","Pruritis (itchy skin)",4.34130756592315e-25
"1307","Diabetes mellitus (common diabetes which causes high blood sugar)","102","Cataracts",2.5620614439278e-24
"1634","Roundworms","1637","Tapeworms",4.86945462370319e-24
"412","Food or medicine allergies that affect the skin","712","Food or medicine allergies",2.07710098228638e-23
"1117","Patellar luxation","1198","Other orthopedic condition",2.38001414194907e-23
"112","Entropion (eyelid rolled in)","198","Other eye condition",1.81168008952961e-21
"1622","Hookworms","1637","Tapeworms",3.67459880409264e-21
"404","Alopecia (hair loss)","423","Pruritis (itchy skin)",4.92172057576575e-21
"410","Flea allergy dermatitis","423","Pruritis (itchy skin)",1.05871149400178e-20
"414","Lick granuloma","423","Pruritis (itchy skin)",2.41262274045177e-20
"914","Urinary crystals or stones in bladder or urethra","916","Urinary tract infection (chronic or recurrent)",7.83833032396075e-20
"310","Overbite","398","Other oral condition",2.1566192267874e-19
"612","Tracheal collapse","1117","Patellar luxation",6.92616183875872e-19
"1804","Fractured bone (long bone in limb)","1810","Hit by car or other vehicle",7.31277800830493e-19
"406","Chronic or recurrent hot spots","423","Pruritis (itchy skin)",1.97346882992938e-18
"404","Alopecia (hair loss)","405","Atopic dermatitis (atopy)",2.35561337691849e-18
"711","Fecal incontinence","915","Urinary incontinence",5.3298070592969e-18
"1110","Hip dysplasia","1198","Other orthopedic condition",1.47565909118685e-17
